final_game_state	player1	player2	result
 X..XO.OO...XXX.XX.OXX.XO.OOO...X..OOXOO....O..X....OX..OOO...X...OX....OOO..O.X..O.XOO....OX.O.X....O..XX..X.OXXXXO.O...O.OOO.O.XXXXXOX.O...O.X.O.O.X.X.X.X.O....OXX.X....X.XO.X.O.X.O..O..XXO...XXXX..O.X.O.OO..XXOXO..X...O....	 "username0"	 "username5"	0
 XOOOO...X....X.X.OXOOOX...O..OX..O.O...X.........OXX...O....XX.O........X..XO......X.....OXX....X.XOOX......XX.X.X..OX......O.O.XOOO...O.X....XX......O.X..X.X.O...XOO...OX...X.X....X.OX.X.OXOXO....O.O.....X.OO...O...X..XO.OO.	 "username0"	 "username5"	0
 OO.X.OX......O..O....X.....X........XOO......X....XO....O..O..X.X..X..O...X.O.X.O..O....X...X.O..OXX....X.....X....O...OX...OOOX........O.O...XO....X..X..O..X....OX..X...O........OX......X..........O......X....X....OX...X..O.	 "username1"	 "username5"	0
 X...O.XO.XO.OXXOO.OXX..XO...OO.....XXO.O.O..OXX.XOXX.O.X.X.OOXOX..XOOOXXX..OX.XX.XX.XOO...OXXXOOO.XOXXXX.XOOO.OXXXOXOX..XOOO.OOXOX..OXXO.OX.XX...OXOXOX....OOXOOOOXXXOO.O.XX.XOX.XXXX.XOOOOXOXX.XOXO.O..OOOXO.OXXX.OX.OO.OXOOXOOX	 "username1"	 "username5"	0
 X.X....OX....OO.X..O.X.OXX..O.....O.O..XX..OXO.XXX..OX..OX...O....XXO.O..O.X.OO.X.X.......XXO.OXXXO....O..OOX..XO.X.XO.X.O....O..XO..O.X.XXX.OOOX..O..XOOO.....X..OO..XXO..XX.XX.X...O.X.O.XO.X.OO.......O..O.O.XOX.O.O..O.X...XX	 "username2"	 "username5"	0
 XO..XO..OX..X..OX.OO....X.XOO..OXO...X..O.O.X..O.O..O..XO.O...OO.X..OXXO.XOX...X..XOX..O.OO.OXO..X...X.O..XX.XX..XX.OX..X.O.X.O.XXO.XX....O.XXOOOOO.XX....OO....XXOOOO....X..X...OO..X..XO..X.XXOX..XOOX.X.OX...XOX.O..XX.O.O..O.	 "username2"	 "username5"	1
 .XXX....XX..OO.OXOXOX...O...OO.X..XXX..X.OX..O...O.XX..X....OO.......OOO..OOO.OXX.OXO.....O..OXXO...OX.XOO.O....O.O....OO....OX...XX.....X..XXX.O..OX..X...X.OXX.O.XOOO.XX.X....XXX.OO..OXOOXO.OO.O.XOX.XOXO...XXX....XX.O.XOO..X	 "username3"	 "username5"	1
 ......OO.....X.X..........XOOXO.O....X..XO.....XX.O.X.XO.....X.OO...X..X....O.......O..O.X.O.....O.....O..O.........X.OXO....O...O.....O...XX...O..XX..O.XOO...O....X..X...OX........X..O.X.O......X....XX.X.......XXO....X......	 "username3"	 "username5"	0
 OXXOO.OX.XXOXX....O..O.XOXXOO.OX..X..OOX.OOOX.OO..OOX.OOOX.OOOXO.X.XXO.O..OXXO....XXO..O.X.OOOXX.O.X..O..X..X.XXO..OOXOX..XXOX.OX.X.OXX.OXXX.X.....X..XX..XO.O.X.XX..X..OOXOX.OXXX.OOXOXO..O..OXOXO...OOX..OOO.O..X..XXXOOX.XXO..	 "username4"	 "username5"	0
 .....XOX.OO.O...OXXXXX..X.XOOO.X.O.XO.XOX..O.OOOX.OOXOOX..O.XX...X.XXXOX.X..X.O.X...X.X....XOO.XO..XXOXO..OOXX.OXO...OX...X.O.X.X.OOXO..OX.OX..X.O...XOXXOOX...XO.OOOO.OOO.XOOO.X..OX.O.X.O..XOOOOXOX.X..XX.O.OXX..O.XXX..X.X.O..	 "username4"	 "username5"	0
 OO.OOX.XX.X.XO....X.OO..X.O..X...OX.O.XO...OXXO.OO..O..X..XOXOOO.X..OX...OOXX..O.O..OXOO.XOOOXXO...X.OOOXXX.OO..OOXX..XX.X.O..XOXX...XXO.XX.....X.O......OX..XOOXOXX.X.X.O.X.OOOXOXOXX.OO..O...XOOOOX..XOXXX.O.XXX..X..X.OO.....X	 "username5"	 "username6"	1
 OO.X...X....O.XOO.O...XO....OO.OXX.OX.X.XO..X.XX..XO.....O...O.X.O..OOXX...XOO......X......X.O..XO..X.O...X.....XX.XOO.X..X.....X.OXOOO..XX.OX.......O....XXX....OX...O...XO....O...OO.XX.X......O........OO..X.O.........OX.X...	 "username5"	 "username6"	0
 .O...X..OXOO.X.XX.........O...O.....X.O.......XOXO.OX..O.XOX...OX.O..OO.O..XXX.....X..O.....X.....OX.XO..X...O..X.XO......OOOOO........O.XXO.O...OXXX..X...OO.XOO.X..XX........X.O.OX.XX.X.X.X.O..O.......OO..X.XO.OX.......XO.X.	 "username5"	 "username7"	1
 X...XO..XO...OX.X.XO........O.OOX..O.O....O...X.X..XO.X..OO..X....X..X.XO.........OO.O.O...............XO....O...X.X.O..O....O.XXOO....OX.X...X...O.X..XX...OX..O......XX.OX......OXX...X.X...O.XO.O..XOXO.........OX.....O....X.	 "username5"	 "username7"	0
 .X.......O.....O......X...O..X.OXOX.O.XX....OX......XX..OOX.X.XXX..O.X.OX.O...O..O..X..O..O.O.X...XO...O..O...O.OX.O.....O.XX.O.X.....O.OO..O..XO...XO..X....XXOXO.......X.....O.X.X.........X..O....X....X..X...O.X.....X..O.O..	 "username5"	 "username8"	0
 XOXXXX.XX...XX.X...O..XOOXO.O...XOO.X..X...OO...OX.OO..O.X.OOO.X...X.OO....X.OXXO.XO...OOXX.XXO..O.O...O.OO..X.OX.O...OOO.XO..OOXOXOX..X.O...O....O..XX..X.XX.....O...X..XX.X..X..O..O...XXX.O.OOOXX..OX..XX.O.O.O..X...XXOOX..OX	 "username5"	 "username8"	1
 OO..XOO.O...X..XX.OXO.XO..X....XXXX...X.XXX..OOXOXO.XOOXO......XX.OX..XOOX..O..OXX...XXXOO...O.O...O.XXO.OO...O.X...XXXXXX..X.O..OO......OO..O.O.XO.XOXOXO....O.X..O.XO.OOXX...X...X..O...X..XOOOXO.XXOXO..XOOXO.O..XO.XX.OO.XOOX	 "username5"	 "username9"	0
 ...OO.X..XX...X.X...X...........O.X...OOO.XX....OX....O.XOO.....OX..O.O..O.....X..X..X.O.O.O.XX.X.X.O.O.O.....XX.X.X.X.O.O.XOO.X.....X....X.OO.....XXOXX.XOOX.OX.X..XXOOOO.X...X...XX.O.OO....O...OOO...XO.OO.O...X.....X.O..O.XX	 "username5"	 "username9"	1
