final_game_state	player1	player2	result
O.X..X..O.......X..O....XOO.....O.OOX..OX.X.OX.OOOOO....XX.X..O........OO.X..X....OOO..XX..X.XO.O......OX.........OX..O.O.X.....OX.O..XXX.X.OX.....O.......O.O..X...XOOX....O...X.....O.XX.X.X....XX....XX....O..X.......OXO.....	5_username	75_username	1
O....OOX.OXX....O.O...OO..X......X.OX.OOX.O.OOXX.....O..XX.X..O...XOO..O...X..O.XOO...OX.XX....OOO.XXXOOO......O.XOOX...O..OXX.X.XO.X....XO..O.X.XOX.X..X.X.X.....X..OO.....X.X..O..X..X..X.XXXXOX..OOX..O.OO..X..O..O....O..XX.O	5_username	646_username	1
....O..X.OO.O.O.O....X.O.OOX....O.O........O.O..O....O...O..O...OX.......OOX.OX....O...X...XXOX.O.O.X.OX.XO...X.O...O.....XO..XXXX...X.XO.XX.X...X......X.XO..XXXOO...XXX.XX.O...XX......XXO....O.........O.........X.....OX...O.	219_username	5_username	0
.OX.OOXO...O.O...O.XXXOX.OOXXOXO.XXO....O.OO..XX.XO....O.XXOXOXXXXOXO..O.XO.....XO.O.O.O..O..XO.O...O.X.X.O..XXX.XXO.OX...OOXXXOOOX.OX..OX..X.X...X.X.O..OX..X.X.X..XO.OOOOX..XX.OOXO.OOOX....OO.OOOXXO.X..XX.OX.OX.XOXX.XX.O....	781_username	5_username	1
.XX...XOXOXX.XOXOXXX.XXXOOO..XO.OOX..XOXXX.XO.OXX..XXXX...XXXXOOO.XO.XX..OOX......X.OOXO.OOXOO.O..O..OX...XX.XO.O....XXXXX.....XX.XX..OOOOX.X..OO..O..O.O...O.OX.OOOO..XOO.....OX.OOOO.O.OX...OXXXOO..O.X.OXO..XOXOXOOX.XOXXO.OXO	906_username	5_username	0
OOX...XOXOX.O...XXOO.O.O..OX.O.X.O...OXXXX..XXX.O.OXO.X.OO.O.XXX....O.O.X.XOOO....X..XX..O....OXOXOXX..X..OX.XX.O.XXXOOOOOOXOOO..O.X.....XX....OX.OX...XXO.O.O.OXXO....OXOXX.XX.OOOX..X..X.O.OO.....X.O..X.OOXXXO.X.XOXOOOX.OXX..	593_username	5_username	0
OOOX.X.OX..OO..X..XXOO.OOOX.X..OO.XX..X.OOX..OX.X.OO..XXOOXOX..O.OOO......XXXX.....X..O.O...XO..O.O......OXOXO.O..O.XO...XOOXX.X.X..OX.OO.X..XXXX..O.O.X.XOX....XX.OXXXXOXO.OOX.O..X.OOOO..O..XX.OXX.....O.OOXX...OXX...X.X.XX..O	5_username	240_username	0
..X..XOXXX.OXX.OXXXX.OOO.OXXO..XO.X.O.XO....X.XXO...OOXXO.X..O.XOXO....X....X.XOOXXXOXXOO.X.OX..X.XO.O.X....XOOXOO.OO.X.OO.OXOOO.XX..XXXX..X.O.XOO.OOXX..X..XXO.OXXOX...XX.OOXO.OXOOO.OXO.OXOX.OXOX.OO...OOOX....XOOXXXOOOX.OO.O.	90_username	5_username	1
OO..XOOXOXOX.O...OOXX.......XXOX.O.OO.XOO..O.XXOX.XO.XOX..OOXOXXO.X.X.X.X.XO.OXXOO.XX..X.X..O.OOOOX..O.O.OXX.O....OXXOX..O.XO.XXOXO.XO.XX.X.XXXOXO.OO.OO..X.OO.X.XXO..OX.OXXXX.XX.XXO.XO.OX.OXOOX.OXOOO.X...X....OX.OOOO..O..XXOX	341_username	5_username	0
OX...O.O..OX.OX..OX...XX.X....XO..O...O.X.XX..X....X.OXX...X...OXX..O..X.O..O.OX.O.....X..O.....OXOX.O..O.X.XX.O...OXOO.XXX.XXOXXOOOX.O.OXO.X...XO.X.XXX.X....OOX.OO..OX.XXOOXX..XX.O.XX..OO.O.O...O...OO.OO...XXO...OOOO..XO.O.X	529_username	5_username	1
