uid	username	avg_play_time
0	0_username	00:14:23.0714
1	1_username	00:13:40.3500
2	2_username	00:14:33.9500
3	3_username	00:14:37.4166
4	4_username	00:14:34.5416
5	5_username	00:15:24.3684
6	6_username	00:13:42.6666
7	7_username	00:15:39.7142
8	8_username	00:14:49.2000
9	9_username	00:14:34.1500
10	10_username	00:15:06.9375
11	11_username	00:14:17.3181
12	12_username	00:12:44.8421
13	13_username	00:15:12.3125
14	14_username	00:13:11.7777
15	15_username	00:12:31.3333
16	16_username	00:15:11.0952
17	17_username	00:14:48.8333
18	18_username	00:15:57.6875
19	19_username	00:14:10.3333
20	20_username	00:15:19.7222
21	21_username	00:15:04.0800
22	22_username	00:14:23.2857
23	23_username	00:15:15.4782
24	24_username	00:15:47.7777
25	25_username	00:14:07.6190
26	26_username	00:14:27.7200
27	27_username	00:14:04.1666
28	28_username	00:15:00.9629
29	29_username	00:14:06.1304
30	30_username	00:14:03.9000
31	31_username	00:15:11.1333
32	32_username	00:14:37.5384
33	33_username	00:15:50.2631
34	34_username	00:16:09.3125
35	35_username	00:16:08.7037
36	36_username	00:13:54.1875
37	37_username	00:14:53.4166
38	38_username	00:14:31.3529
39	39_username	00:14:51.4545
40	40_username	00:14:06.5000
41	41_username	00:14:11.1200
42	42_username	00:15:02.0000
43	43_username	00:14:52.8695
44	44_username	00:13:50.1428
45	45_username	00:14:34.1818
46	46_username	00:14:16.1904
47	47_username	00:14:28.0000
48	48_username	00:16:04.8461
49	49_username	00:13:50.9545
50	50_username	00:14:44.1578
51	51_username	00:14:41.2083
52	52_username	00:15:58.4347
53	53_username	00:13:44.1578
54	54_username	00:15:33.8333
55	55_username	00:14:03.5625
56	56_username	00:13:46.9285
57	57_username	00:15:15.6842
58	58_username	00:12:32.7692
59	59_username	00:12:59.6923
60	60_username	00:13:32.7619
61	61_username	00:13:36.9090
62	62_username	00:14:17.8947
63	63_username	00:14:16.4090
64	64_username	00:13:56.5357
65	65_username	00:15:22.3500
66	66_username	00:13:56.2000
67	67_username	00:13:12.2500
68	68_username	00:15:20.3684
69	69_username	00:15:39.7500
70	70_username	00:15:01.0666
71	71_username	00:13:19.5789
72	72_username	00:14:00.1428
73	73_username	00:15:04.3703
74	74_username	00:13:40.7368
75	75_username	00:14:01.7916
76	76_username	00:15:50.5652
77	77_username	00:14:43.7500
78	78_username	00:15:06.7391
79	79_username	00:13:30.3928
80	80_username	00:14:22.7000
81	81_username	00:15:51.3714
82	82_username	00:13:42.4375
83	83_username	00:14:31.1000
84	84_username	00:14:17.6363
85	85_username	00:14:38.5000
86	86_username	00:15:30.5000
87	87_username	00:12:39.8000
88	88_username	00:13:47.4000
89	89_username	00:15:26.1000
90	90_username	00:14:49.1785
91	91_username	00:15:09.0000
92	92_username	00:14:13.5000
93	93_username	00:15:13.3684
94	94_username	00:15:35.7000
95	95_username	00:14:38.5384
96	96_username	00:16:13.4117
97	97_username	00:13:08.1666
98	98_username	00:15:35.7058
99	99_username	00:13:42.8888
100	100_username	00:14:49.5238
101	101_username	00:13:33.1176
102	102_username	00:15:43.1250
103	103_username	00:13:39.9444
104	104_username	00:14:19.6190
105	105_username	00:14:02.2500
106	106_username	00:15:54.8823
107	107_username	00:14:06.0000
108	108_username	00:13:41.9411
109	109_username	00:13:27.1764
110	110_username	00:14:44.1111
111	111_username	00:14:20.9444
112	112_username	00:15:16.9473
113	113_username	00:13:42.4000
114	114_username	00:14:43.6666
115	115_username	00:14:34.3913
116	116_username	00:15:05.1304
117	117_username	00:14:10.4444
118	118_username	00:13:26.8846
119	119_username	00:14:33.4117
120	120_username	00:15:36.3125
121	121_username	00:14:55.2105
122	122_username	00:13:07.5833
123	123_username	00:16:07.0967
124	124_username	00:15:24.4736
125	125_username	00:14:17.7000
126	126_username	00:14:28.3333
127	127_username	00:14:12.0000
128	128_username	00:14:15.0555
129	129_username	00:14:31.1666
130	130_username	00:14:58.2142
131	131_username	00:14:05.3703
132	132_username	00:15:04.1500
133	133_username	00:13:41.0000
134	134_username	00:14:08.5151
135	135_username	00:15:21.8181
136	136_username	00:14:56.5625
137	137_username	00:14:44.2105
138	138_username	00:14:06.3888
139	139_username	00:15:41.6086
140	140_username	00:14:45.0555
141	141_username	00:15:45.4814
142	142_username	00:14:12.6785
143	143_username	00:13:34.1666
144	144_username	00:14:03.1176
145	145_username	00:14:58.4666
146	146_username	00:14:49.3043
147	147_username	00:13:38.6666
148	148_username	00:15:02.5000
149	149_username	00:14:54.1428
150	150_username	00:14:19.8571
151	151_username	00:13:58.1764
152	152_username	00:14:32.6818
153	153_username	00:15:01.4137
154	154_username	00:15:17.1764
155	155_username	00:14:10.5555
156	156_username	00:14:09.7058
157	157_username	00:16:46.9411
158	158_username	00:14:22.2222
