uid	username	loss_rate
0	0_username	42.8571
1	1_username	55.0000
2	2_username	65.0000
3	3_username	41.6667
4	4_username	37.5000
5	5_username	42.1053
6	6_username	66.6667
7	7_username	35.7143
8	8_username	55.0000
9	9_username	45.0000
10	10_username	68.7500
11	11_username	50.0000
12	12_username	47.3684
13	13_username	62.5000
14	14_username	44.4444
15	15_username	66.6667
16	16_username	52.3810
17	17_username	72.2222
18	18_username	62.5000
19	19_username	30.0000
20	20_username	38.8889
21	21_username	44.0000
22	22_username	57.1429
23	23_username	65.2174
24	24_username	33.3333
25	25_username	52.3810
26	26_username	56.0000
27	27_username	58.3333
28	28_username	59.2593
29	29_username	69.5652
30	30_username	50.0000
31	31_username	40.0000
32	32_username	46.1538
33	33_username	57.8947
34	34_username	56.2500
35	35_username	51.8519
36	36_username	81.2500
37	37_username	45.8333
38	38_username	41.1765
39	39_username	54.5455
40	40_username	38.8889
41	41_username	64.0000
42	42_username	33.3333
43	43_username	43.4783
44	44_username	42.8571
45	45_username	59.0909
46	46_username	52.3810
47	47_username	50.0000
48	48_username	53.8462
49	49_username	54.5455
50	50_username	57.8947
51	51_username	37.5000
52	52_username	60.8696
53	53_username	73.6842
54	54_username	44.4444
55	55_username	62.5000
56	56_username	57.1429
57	57_username	31.5789
58	58_username	30.7692
59	59_username	65.3846
60	60_username	47.6190
61	61_username	54.5455
62	62_username	68.4211
63	63_username	50.0000
64	64_username	50.0000
65	65_username	50.0000
66	66_username	60.0000
67	67_username	37.5000
68	68_username	42.1053
69	69_username	50.0000
70	70_username	46.6667
71	71_username	47.3684
72	72_username	57.1429
73	73_username	44.4444
74	74_username	52.6316
75	75_username	37.5000
76	76_username	60.8696
77	77_username	37.5000
78	78_username	60.8696
79	79_username	42.8571
80	80_username	55.0000
81	81_username	45.7143
82	82_username	68.7500
83	83_username	45.0000
84	84_username	36.3636
85	85_username	54.5455
86	86_username	50.0000
87	87_username	50.0000
88	88_username	46.6667
89	89_username	55.0000
90	90_username	50.0000
91	91_username	38.4615
92	92_username	33.3333
93	93_username	42.1053
94	94_username	60.0000
95	95_username	46.1538
96	96_username	41.1765
97	97_username	61.1111
98	98_username	52.9412
99	99_username	44.4444
100	100_username	47.6190
101	101_username	41.1765
102	102_username	43.7500
103	103_username	50.0000
104	104_username	28.5714
105	105_username	40.0000
106	106_username	41.1765
107	107_username	33.3333
108	108_username	23.5294
109	109_username	23.5294
110	110_username	22.2222
111	111_username	33.3333
112	112_username	52.6316
113	113_username	60.0000
114	114_username	50.0000
115	115_username	39.1304
116	116_username	78.2609
117	117_username	50.0000
118	118_username	38.4615
119	119_username	58.8235
120	120_username	62.5000
121	121_username	47.3684
122	122_username	50.0000
123	123_username	51.6129
124	124_username	42.1053
125	125_username	60.0000
126	126_username	61.1111
127	127_username	55.5556
128	128_username	27.7778
129	129_username	44.4444
130	130_username	50.0000
131	131_username	55.5556
132	132_username	50.0000
133	133_username	33.3333
134	134_username	45.4545
135	135_username	50.0000
136	136_username	37.5000
137	137_username	42.1053
138	138_username	38.8889
139	139_username	65.2174
140	140_username	33.3333
141	141_username	51.8519
142	142_username	42.8571
143	143_username	58.3333
144	144_username	58.8235
145	145_username	46.6667
146	146_username	47.8261
147	147_username	52.3810
148	148_username	54.5455
149	149_username	53.5714
150	150_username	42.8571
151	151_username	47.0588
152	152_username	54.5455
153	153_username	37.9310
154	154_username	41.1765
155	155_username	50.0000
156	156_username	64.7059
157	157_username	41.1765
158	158_username	55.5556
159	159_username	36.3636
160	160_username	42.1053
161	161_username	64.0000
162	162_username	73.6842
163	163_username	57.1429
164	164_username	33.3333
165	165_username	57.1429
166	166_username	56.2500
167	167_username	77.7778
168	168_username	33.3333
169	169_username	50.0000
170	170_username	44.4444
171	171_username	52.0000
172	172_username	57.8947
173	173_username	44.4444
174	174_username	68.0000
175	175_username	53.8462
176	176_username	65.0000
177	177_username	64.0000
178	178_username	44.4444
179	179_username	53.8462
180	180_username	61.1111
181	181_username	58.8235
182	182_username	27.7778
183	183_username	47.3684
184	184_username	29.4118
185	185_username	50.0000
186	186_username	40.0000
187	187_username	64.2857
188	188_username	56.2500
189	189_username	50.0000
190	190_username	41.6667
191	191_username	44.0000
192	192_username	55.0000
193	193_username	47.3684
194	194_username	43.7500
195	195_username	85.7143
196	196_username	45.4545
197	197_username	64.7059
198	198_username	40.0000
199	199_username	40.0000
200	200_username	40.0000
201	201_username	41.6667
202	202_username	27.7778
203	203_username	89.4737
204	204_username	47.3684
205	205_username	55.0000
206	206_username	50.0000
207	207_username	44.8276
208	208_username	46.6667
209	209_username	68.7500
210	210_username	25.0000
211	211_username	50.0000
212	212_username	54.5455
213	213_username	50.0000
214	214_username	70.5882
215	215_username	50.0000
216	216_username	47.3684
217	217_username	40.0000
218	218_username	38.8889
219	219_username	67.7419
220	220_username	34.7826
221	221_username	62.5000
222	222_username	66.6667
223	223_username	50.0000
224	224_username	73.0769
225	225_username	36.3636
226	226_username	47.6190
227	227_username	42.8571
228	228_username	65.0000
229	229_username	53.8462
230	230_username	50.0000
231	231_username	44.4444
232	232_username	52.1739
233	233_username	59.0909
234	234_username	42.8571
235	235_username	65.3846
236	236_username	47.3684
237	237_username	61.5385
238	238_username	50.0000
239	239_username	58.8235
240	240_username	50.0000
241	241_username	64.0000
242	242_username	41.6667
243	243_username	31.5789
244	244_username	55.0000
245	245_username	21.0526
246	246_username	31.5789
247	247_username	41.6667
248	248_username	46.1538
249	249_username	41.6667
250	250_username	47.3684
251	251_username	31.2500
252	252_username	33.3333
253	253_username	27.2727
254	254_username	63.1579
255	255_username	42.1053
256	256_username	33.3333
257	257_username	66.6667
258	258_username	37.0370
259	259_username	53.5714
260	260_username	50.0000
261	261_username	73.3333
262	262_username	68.7500
263	263_username	52.3810
264	264_username	38.4615
265	265_username	44.0000
266	266_username	46.6667
267	267_username	82.3529
268	268_username	50.0000
269	269_username	42.1053
270	270_username	59.0909
271	271_username	19.0476
272	272_username	54.5455
273	273_username	56.0000
274	274_username	66.6667
275	275_username	38.0952
276	276_username	42.8571
277	277_username	57.1429
278	278_username	70.5882
279	279_username	60.0000
280	280_username	52.6316
281	281_username	64.2857
282	282_username	57.8947
283	283_username	53.8462
284	284_username	48.0000
285	285_username	40.9091
286	286_username	46.6667
287	287_username	47.3684
288	288_username	36.8421
289	289_username	70.0000
290	290_username	56.0000
291	291_username	54.5455
292	292_username	62.5000
293	293_username	87.5000
294	294_username	44.4444
295	295_username	58.3333
296	296_username	53.8462
297	297_username	28.5714
298	298_username	45.8333
299	299_username	59.2593
300	300_username	52.1739
301	301_username	62.5000
302	302_username	56.2500
303	303_username	65.3846
304	304_username	46.6667
305	305_username	59.2593
306	306_username	64.0000
307	307_username	40.0000
308	308_username	40.9091
309	309_username	36.8421
310	310_username	24.0000
311	311_username	57.1429
312	312_username	29.4118
313	313_username	62.9630
314	314_username	58.8235
315	315_username	47.3684
316	316_username	36.8421
317	317_username	62.5000
318	318_username	47.8261
319	319_username	58.3333
320	320_username	52.3810
321	321_username	42.8571
322	322_username	30.7692
323	323_username	59.0909
324	324_username	61.9048
325	325_username	65.5172
326	326_username	47.0588
327	327_username	36.8421
328	328_username	65.0000
329	329_username	41.3793
330	330_username	47.8261
331	331_username	48.1481
332	332_username	62.5000
333	333_username	36.8421
334	334_username	46.6667
335	335_username	50.0000
336	336_username	61.1111
337	337_username	61.1111
338	338_username	53.8462
339	339_username	58.3333
340	340_username	46.8750
341	341_username	44.4444
342	342_username	65.0000
343	343_username	33.3333
344	344_username	42.1053
345	345_username	43.4783
346	346_username	60.0000
347	347_username	47.0588
348	348_username	52.3810
349	349_username	64.2857
350	350_username	57.1429
351	351_username	58.8235
352	352_username	62.5000
353	353_username	47.3684
354	354_username	33.3333
355	355_username	30.7692
356	356_username	64.2857
357	357_username	47.8261
358	358_username	40.9091
359	359_username	56.6667
360	360_username	55.5556
361	361_username	43.3333
362	362_username	36.3636
363	363_username	60.0000
364	364_username	35.0000
365	365_username	47.0588
366	366_username	55.0000
367	367_username	52.3810
368	368_username	27.7778
369	369_username	59.2593
370	370_username	41.6667
371	371_username	62.5000
372	372_username	63.6364
373	373_username	40.0000
374	374_username	50.0000
375	375_username	56.2500
376	376_username	57.8947
377	377_username	42.1053
378	378_username	65.2174
379	379_username	28.5714
380	380_username	80.0000
381	381_username	48.0000
382	382_username	42.8571
383	383_username	45.4545
384	384_username	37.9310
385	385_username	45.8333
386	386_username	36.3636
387	387_username	50.0000
388	388_username	26.3158
389	389_username	50.0000
390	390_username	45.8333
391	391_username	31.8182
392	392_username	38.0952
393	393_username	52.3810
394	394_username	47.6190
395	395_username	81.2500
396	396_username	38.4615
397	397_username	25.0000
398	398_username	47.6190
399	399_username	63.1579
400	400_username	35.2941
401	401_username	46.6667
402	402_username	21.7391
403	403_username	30.4348
404	404_username	53.8462
405	405_username	52.9412
406	406_username	47.8261
407	407_username	66.6667
408	408_username	43.7500
409	409_username	50.0000
410	410_username	41.6667
411	411_username	30.0000
412	412_username	43.4783
413	413_username	61.9048
414	414_username	50.0000
415	415_username	41.1765
416	416_username	62.5000
417	417_username	44.4444
418	418_username	33.3333
419	419_username	35.2941
420	420_username	57.1429
421	421_username	26.3158
422	422_username	52.1739
423	423_username	50.0000
424	424_username	36.8421
425	425_username	41.6667
426	426_username	63.1579
427	427_username	67.8571
428	428_username	40.0000
429	429_username	73.0769
430	430_username	33.3333
431	431_username	61.1111
432	432_username	46.6667
433	433_username	53.5714
434	434_username	56.0000
435	435_username	41.6667
436	436_username	14.2857
437	437_username	43.4783
438	438_username	55.5556
439	439_username	33.3333
440	440_username	53.3333
441	441_username	66.6667
442	442_username	65.5172
443	443_username	33.3333
444	444_username	53.3333
445	445_username	47.6190
446	446_username	54.5455
447	447_username	46.6667
448	448_username	53.8462
449	449_username	39.2857
450	450_username	72.0000
451	451_username	36.1111
452	452_username	50.0000
453	453_username	33.3333
454	454_username	58.3333
455	455_username	50.0000
456	456_username	75.0000
457	457_username	45.8333
458	458_username	58.8235
459	459_username	36.0000
460	460_username	30.0000
461	461_username	57.1429
462	462_username	58.8235
463	463_username	33.3333
464	464_username	55.5556
465	465_username	54.5455
466	466_username	64.7059
467	467_username	54.1667
468	468_username	42.1053
469	469_username	37.0370
470	470_username	66.6667
471	471_username	53.1250
472	472_username	33.3333
473	473_username	40.0000
474	474_username	44.4444
475	475_username	46.1538
476	476_username	52.0000
477	477_username	36.3636
478	478_username	50.0000
479	479_username	52.3810
480	480_username	50.0000
481	481_username	53.8462
482	482_username	68.0000
483	483_username	37.5000
484	484_username	33.3333
485	485_username	53.3333
486	486_username	50.0000
487	487_username	33.3333
488	488_username	47.0588
489	489_username	58.8235
490	490_username	37.0370
491	491_username	64.7059
492	492_username	42.3077
493	493_username	42.1053
494	494_username	50.0000
495	495_username	54.5455
496	496_username	55.5556
497	497_username	58.3333
498	498_username	47.3684
499	499_username	23.0769
500	500_username	47.6190
501	501_username	55.0000
502	502_username	62.9630
503	503_username	52.9412
504	504_username	22.2222
505	505_username	53.8462
506	506_username	57.1429
507	507_username	50.0000
508	508_username	26.6667
509	509_username	50.0000
510	510_username	62.9630
511	511_username	45.0000
