uid	username	wins	rank_of_wins
451	451_username	23	1
984	984_username	22	2
19	19_username	21	3
731	731_username	21	3
77	77_username	20	5
627	627_username	20	5
81	81_username	19	7
310	310_username	19	7
706	706_username	19	7
134	134_username	18	10
153	153_username	18	10
384	384_username	18	10
402	402_username	18	10
523	523_username	18	10
652	652_username	18	10
818	818_username	18	10
189	189_username	17	17
258	258_username	17	17
271	271_username	17	17
329	329_username	17	17
340	340_username	17	17
361	361_username	17	17
449	449_username	17	17
469	469_username	17	17
490	490_username	17	17
518	518_username	17	17
576	576_username	17	17
741	741_username	17	17
917	917_username	17	17
42	42_username	16	30
44	44_username	16	30
79	79_username	16	30
107	107_username	16	30
118	118_username	16	30
142	142_username	16	30
207	207_username	16	30
234	234_username	16	30
253	253_username	16	30
403	403_username	16	30
459	459_username	16	30
463	463_username	16	30
531	531_username	16	30
587	587_username	16	30
588	588_username	16	30
614	614_username	16	30
628	628_username	16	30
653	653_username	16	30
673	673_username	16	30
781	781_username	16	30
837	837_username	16	30
922	922_username	16	30
992	992_username	16	30
4	4_username	15	53
51	51_username	15	53
73	73_username	15	53
75	75_username	15	53
104	104_username	15	53
123	123_username	15	53
170	170_username	15	53
186	186_username	15	53
210	210_username	15	53
213	213_username	15	53
220	220_username	15	53
245	245_username	15	53
297	297_username	15	53
307	307_username	15	53
373	373_username	15	53
379	379_username	15	53
391	391_username	15	53
397	397_username	15	53
471	471_username	15	53
483	483_username	15	53
492	492_username	15	53
553	553_username	15	53
566	566_username	15	53
569	569_username	15	53
641	641_username	15	53
649	649_username	15	53
654	654_username	15	53
708	708_username	15	53
734	734_username	15	53
745	745_username	15	53
835	835_username	15	53
857	857_username	15	53
866	866_username	15	53
880	880_username	15	53
904	904_username	15	53
914	914_username	15	53
965	965_username	15	53
967	967_username	15	53
968	968_username	15	53
972	972_username	15	53
3	3_username	14	93
21	21_username	14	93
64	64_username	14	93
90	90_username	14	93
115	115_username	14	93
133	133_username	14	93
164	164_username	14	93
190	190_username	14	93
191	191_username	14	93
225	225_username	14	93
230	230_username	14	93
247	247_username	14	93
248	248_username	14	93
249	249_username	14	93
265	265_username	14	93
331	331_username	14	93
362	362_username	14	93
386	386_username	14	93
388	388_username	14	93
411	411_username	14	93
418	418_username	14	93
421	421_username	14	93
425	425_username	14	93
460	460_username	14	93
472	472_username	14	93
477	477_username	14	93
487	487_username	14	93
504	504_username	14	93
512	512_username	14	93
532	532_username	14	93
555	555_username	14	93
580	580_username	14	93
589	589_username	14	93
593	593_username	14	93
596	596_username	14	93
637	637_username	14	93
640	640_username	14	93
645	645_username	14	93
685	685_username	14	93
692	692_username	14	93
703	703_username	14	93
756	756_username	14	93
779	779_username	14	93
783	783_username	14	93
799	799_username	14	93
833	833_username	14	93
852	852_username	14	93
889	889_username	14	93
938	938_username	14	93
980	980_username	14	93
983	983_username	14	93
35	35_username	13	144
37	37_username	13	144
43	43_username	13	144
57	57_username	13	144
108	108_username	13	144
109	109_username	13	144
128	128_username	13	144
141	141_username	13	144
149	149_username	13	144
182	182_username	13	144
185	185_username	13	144
202	202_username	13	144
243	243_username	13	144
246	246_username	13	144
259	259_username	13	144
275	275_username	13	144
284	284_username	13	144
285	285_username	13	144
298	298_username	13	144
308	308_username	13	144
345	345_username	13	144
358	358_username	13	144
359	359_username	13	144
364	364_username	13	144
368	368_username	13	144
381	381_username	13	144
385	385_username	13	144
390	390_username	13	144
392	392_username	13	144
412	412_username	13	144
433	433_username	13	144
437	437_username	13	144
457	457_username	13	144
579	579_username	13	144
584	584_username	13	144
600	600_username	13	144
619	619_username	13	144
625	625_username	13	144
630	630_username	13	144
635	635_username	13	144
643	643_username	13	144
647	647_username	13	144
656	656_username	13	144
659	659_username	13	144
690	690_username	13	144
702	702_username	13	144
705	705_username	13	144
709	709_username	13	144
716	716_username	13	144
722	722_username	13	144
727	727_username	13	144
730	730_username	13	144
751	751_username	13	144
759	759_username	13	144
789	789_username	13	144
801	801_username	13	144
802	802_username	13	144
811	811_username	13	144
874	874_username	13	144
896	896_username	13	144
900	900_username	13	144
907	907_username	13	144
910	910_username	13	144
930	930_username	13	144
935	935_username	13	144
942	942_username	13	144
951	951_username	13	144
958	958_username	13	144
977	977_username	13	144
994	994_username	13	144
24	24_username	12	214
86	86_username	12	214
92	92_username	12	214
105	105_username	12	214
111	111_username	12	214
131	131_username	12	214
140	140_username	12	214
146	146_username	12	214
168	168_username	12	214
171	171_username	12	214
175	175_username	12	214
184	184_username	12	214
196	196_username	12	214
200	200_username	12	214
217	217_username	12	214
227	227_username	12	214
252	252_username	12	214
256	256_username	12	214
276	276_username	12	214
277	277_username	12	214
283	283_username	12	214
288	288_username	12	214
309	309_username	12	214
312	312_username	12	214
316	316_username	12	214
318	318_username	12	214
327	327_username	12	214
330	330_username	12	214
333	333_username	12	214
354	354_username	12	214
357	357_username	12	214
360	360_username	12	214
383	383_username	12	214
389	389_username	12	214
406	406_username	12	214
424	424_username	12	214
428	428_username	12	214
430	430_username	12	214
436	436_username	12	214
439	439_username	12	214
443	443_username	12	214
461	461_username	12	214
473	473_username	12	214
476	476_username	12	214
481	481_username	12	214
505	505_username	12	214
522	522_username	12	214
528	528_username	12	214
559	559_username	12	214
578	578_username	12	214
585	585_username	12	214
591	591_username	12	214
602	602_username	12	214
610	610_username	12	214
615	615_username	12	214
644	644_username	12	214
661	661_username	12	214
672	672_username	12	214
682	682_username	12	214
693	693_username	12	214
707	707_username	12	214
723	723_username	12	214
724	724_username	12	214
752	752_username	12	214
755	755_username	12	214
761	761_username	12	214
762	762_username	12	214
765	765_username	12	214
770	770_username	12	214
785	785_username	12	214
817	817_username	12	214
827	827_username	12	214
832	832_username	12	214
853	853_username	12	214
861	861_username	12	214
871	871_username	12	214
890	890_username	12	214
894	894_username	12	214
895	895_username	12	214
901	901_username	12	214
913	913_username	12	214
926	926_username	12	214
936	936_username	12	214
939	939_username	12	214
954	954_username	12	214
963	963_username	12	214
966	966_username	12	214
969	969_username	12	214
978	978_username	12	214
988	988_username	12	214
5	5_username	11	304
9	9_username	11	304
11	11_username	11	304
20	20_username	11	304
26	26_username	11	304
28	28_username	11	304
40	40_username	11	304
60	60_username	11	304
63	63_username	11	304
68	68_username	11	304
83	83_username	11	304
93	93_username	11	304
100	100_username	11	304
124	124_username	11	304
135	135_username	11	304
137	137_username	11	304
138	138_username	11	304
160	160_username	11	304
218	218_username	11	304
223	223_username	11	304
226	226_username	11	304
232	232_username	11	304
238	238_username	11	304
251	251_username	11	304
255	255_username	11	304
269	269_username	11	304
273	273_username	11	304
290	290_username	11	304
299	299_username	11	304
300	300_username	11	304
305	305_username	11	304
344	344_username	11	304
369	369_username	11	304
374	374_username	11	304
377	377_username	11	304
387	387_username	11	304
394	394_username	11	304
398	398_username	11	304
400	400_username	11	304
419	419_username	11	304
422	422_username	11	304
434	434_username	11	304
445	445_username	11	304
467	467_username	11	304
468	468_username	11	304
493	493_username	11	304
500	500_username	11	304
507	507_username	11	304
508	508_username	11	304
509	509_username	11	304
511	511_username	11	304
514	514_username	11	304
520	520_username	11	304
525	525_username	11	304
543	543_username	11	304
544	544_username	11	304
545	545_username	11	304
557	557_username	11	304
571	571_username	11	304
573	573_username	11	304
595	595_username	11	304
621	621_username	11	304
634	634_username	11	304
638	638_username	11	304
651	651_username	11	304
662	662_username	11	304
665	665_username	11	304
698	698_username	11	304
699	699_username	11	304
710	710_username	11	304
713	713_username	11	304
739	739_username	11	304
743	743_username	11	304
750	750_username	11	304
767	767_username	11	304
775	775_username	11	304
780	780_username	11	304
795	795_username	11	304
812	812_username	11	304
814	814_username	11	304
838	838_username	11	304
843	843_username	11	304
864	864_username	11	304
867	867_username	11	304
882	882_username	11	304
883	883_username	11	304
886	886_username	11	304
919	919_username	11	304
924	924_username	11	304
931	931_username	11	304
943	943_username	11	304
944	944_username	11	304
946	946_username	11	304
947	947_username	11	304
962	962_username	11	304
975	975_username	11	304
985	985_username	11	304
987	987_username	11	304
993	993_username	11	304
995	995_username	11	304
997	997_username	11	304
12	12_username	10	405
14	14_username	10	405
16	16_username	10	405
25	25_username	10	405
27	27_username	10	405
30	30_username	10	405
38	38_username	10	405
39	39_username	10	405
46	46_username	10	405
49	49_username	10	405
54	54_username	10	405
65	65_username	10	405
67	67_username	10	405
71	71_username	10	405
85	85_username	10	405
