uid	username	win_rate
0	0_username	57.1429
1	1_username	45.0000
2	2_username	35.0000
3	3_username	58.3333
4	4_username	62.5000
5	5_username	57.8947
6	6_username	33.3333
7	7_username	64.2857
8	8_username	45.0000
9	9_username	55.0000
10	10_username	31.2500
11	11_username	50.0000
12	12_username	52.6316
13	13_username	37.5000
14	14_username	55.5556
15	15_username	33.3333
16	16_username	47.6190
17	17_username	27.7778
18	18_username	37.5000
19	19_username	70.0000
20	20_username	61.1111
21	21_username	56.0000
22	22_username	42.8571
23	23_username	34.7826
24	24_username	66.6667
25	25_username	47.6190
26	26_username	44.0000
27	27_username	41.6667
28	28_username	40.7407
29	29_username	30.4348
30	30_username	50.0000
31	31_username	60.0000
32	32_username	53.8462
33	33_username	42.1053
34	34_username	43.7500
35	35_username	48.1481
36	36_username	18.7500
37	37_username	54.1667
38	38_username	58.8235
39	39_username	45.4545
40	40_username	61.1111
41	41_username	36.0000
42	42_username	66.6667
43	43_username	56.5217
44	44_username	57.1429
45	45_username	40.9091
46	46_username	47.6190
47	47_username	50.0000
48	48_username	46.1538
49	49_username	45.4545
50	50_username	42.1053
51	51_username	62.5000
52	52_username	39.1304
53	53_username	26.3158
54	54_username	55.5556
55	55_username	37.5000
56	56_username	42.8571
57	57_username	68.4211
58	58_username	69.2308
59	59_username	34.6154
60	60_username	52.3810
61	61_username	45.4545
62	62_username	31.5789
63	63_username	50.0000
64	64_username	50.0000
65	65_username	50.0000
66	66_username	40.0000
67	67_username	62.5000
68	68_username	57.8947
69	69_username	50.0000
70	70_username	53.3333
71	71_username	52.6316
72	72_username	42.8571
73	73_username	55.5556
74	74_username	47.3684
75	75_username	62.5000
76	76_username	39.1304
77	77_username	62.5000
78	78_username	39.1304
79	79_username	57.1429
80	80_username	45.0000
81	81_username	54.2857
82	82_username	31.2500
83	83_username	55.0000
84	84_username	63.6364
85	85_username	45.4545
86	86_username	50.0000
87	87_username	50.0000
88	88_username	53.3333
89	89_username	45.0000
90	90_username	50.0000
91	91_username	61.5385
92	92_username	66.6667
93	93_username	57.8947
94	94_username	40.0000
95	95_username	53.8462
96	96_username	58.8235
97	97_username	38.8889
98	98_username	47.0588
99	99_username	55.5556
100	100_username	52.3810
101	101_username	58.8235
102	102_username	56.2500
103	103_username	50.0000
104	104_username	71.4286
105	105_username	60.0000
106	106_username	58.8235
107	107_username	66.6667
108	108_username	76.4706
109	109_username	76.4706
110	110_username	77.7778
111	111_username	66.6667
112	112_username	47.3684
113	113_username	40.0000
114	114_username	50.0000
115	115_username	60.8696
116	116_username	21.7391
117	117_username	50.0000
118	118_username	61.5385
119	119_username	41.1765
120	120_username	37.5000
121	121_username	52.6316
122	122_username	50.0000
123	123_username	48.3871
124	124_username	57.8947
125	125_username	40.0000
126	126_username	38.8889
127	127_username	44.4444
128	128_username	72.2222
129	129_username	55.5556
130	130_username	50.0000
131	131_username	44.4444
132	132_username	50.0000
133	133_username	66.6667
134	134_username	54.5455
135	135_username	50.0000
136	136_username	62.5000
137	137_username	57.8947
138	138_username	61.1111
139	139_username	34.7826
140	140_username	66.6667
141	141_username	48.1481
142	142_username	57.1429
143	143_username	41.6667
144	144_username	41.1765
145	145_username	53.3333
146	146_username	52.1739
147	147_username	47.6190
148	148_username	45.4545
149	149_username	46.4286
150	150_username	57.1429
151	151_username	52.9412
152	152_username	45.4545
153	153_username	62.0690
154	154_username	58.8235
155	155_username	50.0000
156	156_username	35.2941
157	157_username	58.8235
158	158_username	44.4444
159	159_username	63.6364
160	160_username	57.8947
161	161_username	36.0000
162	162_username	26.3158
163	163_username	42.8571
164	164_username	66.6667
165	165_username	42.8571
166	166_username	43.7500
167	167_username	22.2222
168	168_username	66.6667
169	169_username	50.0000
170	170_username	55.5556
171	171_username	48.0000
172	172_username	42.1053
173	173_username	55.5556
174	174_username	32.0000
175	175_username	46.1538
176	176_username	35.0000
177	177_username	36.0000
178	178_username	55.5556
179	179_username	46.1538
180	180_username	38.8889
181	181_username	41.1765
182	182_username	72.2222
183	183_username	52.6316
184	184_username	70.5882
185	185_username	50.0000
186	186_username	60.0000
187	187_username	35.7143
188	188_username	43.7500
189	189_username	50.0000
190	190_username	58.3333
191	191_username	56.0000
192	192_username	45.0000
193	193_username	52.6316
194	194_username	56.2500
195	195_username	14.2857
196	196_username	54.5455
197	197_username	35.2941
198	198_username	60.0000
199	199_username	60.0000
200	200_username	60.0000
201	201_username	58.3333
202	202_username	72.2222
203	203_username	10.5263
204	204_username	52.6316
205	205_username	45.0000
206	206_username	50.0000
207	207_username	55.1724
208	208_username	53.3333
209	209_username	31.2500
210	210_username	75.0000
211	211_username	50.0000
212	212_username	45.4545
213	213_username	50.0000
214	214_username	29.4118
215	215_username	50.0000
216	216_username	52.6316
217	217_username	60.0000
218	218_username	61.1111
219	219_username	32.2581
220	220_username	65.2174
221	221_username	37.5000
222	222_username	33.3333
223	223_username	50.0000
224	224_username	26.9231
225	225_username	63.6364
226	226_username	52.3810
227	227_username	57.1429
228	228_username	35.0000
229	229_username	46.1538
230	230_username	50.0000
231	231_username	55.5556
232	232_username	47.8261
233	233_username	40.9091
234	234_username	57.1429
235	235_username	34.6154
236	236_username	52.6316
237	237_username	38.4615
238	238_username	50.0000
239	239_username	41.1765
240	240_username	50.0000
241	241_username	36.0000
242	242_username	58.3333
243	243_username	68.4211
244	244_username	45.0000
245	245_username	78.9474
246	246_username	68.4211
247	247_username	58.3333
248	248_username	53.8462
249	249_username	58.3333
250	250_username	52.6316
251	251_username	68.7500
252	252_username	66.6667
253	253_username	72.7273
254	254_username	36.8421
255	255_username	57.8947
256	256_username	66.6667
257	257_username	33.3333
258	258_username	62.9630
259	259_username	46.4286
260	260_username	50.0000
261	261_username	26.6667
262	262_username	31.2500
263	263_username	47.6190
264	264_username	61.5385
265	265_username	56.0000
266	266_username	53.3333
267	267_username	17.6471
268	268_username	50.0000
269	269_username	57.8947
270	270_username	40.9091
271	271_username	80.9524
272	272_username	45.4545
273	273_username	44.0000
274	274_username	33.3333
275	275_username	61.9048
276	276_username	57.1429
277	277_username	42.8571
278	278_username	29.4118
279	279_username	40.0000
280	280_username	47.3684
281	281_username	35.7143
282	282_username	42.1053
283	283_username	46.1538
284	284_username	52.0000
285	285_username	59.0909
286	286_username	53.3333
287	287_username	52.6316
288	288_username	63.1579
289	289_username	30.0000
290	290_username	44.0000
291	291_username	45.4545
292	292_username	37.5000
293	293_username	12.5000
294	294_username	55.5556
295	295_username	41.6667
296	296_username	46.1538
297	297_username	71.4286
298	298_username	54.1667
299	299_username	40.7407
300	300_username	47.8261
301	301_username	37.5000
302	302_username	43.7500
303	303_username	34.6154
304	304_username	53.3333
305	305_username	40.7407
306	306_username	36.0000
307	307_username	60.0000
308	308_username	59.0909
309	309_username	63.1579
310	310_username	76.0000
311	311_username	42.8571
312	312_username	70.5882
313	313_username	37.0370
314	314_username	41.1765
315	315_username	52.6316
316	316_username	63.1579
317	317_username	37.5000
318	318_username	52.1739
319	319_username	41.6667
320	320_username	47.6190
321	321_username	57.1429
322	322_username	69.2308
323	323_username	40.9091
324	324_username	38.0952
325	325_username	34.4828
326	326_username	52.9412
327	327_username	63.1579
328	328_username	35.0000
329	329_username	58.6207
330	330_username	52.1739
331	331_username	51.8519
332	332_username	37.5000
333	333_username	63.1579
334	334_username	53.3333
335	335_username	50.0000
336	336_username	38.8889
337	337_username	38.8889
338	338_username	46.1538
339	339_username	41.6667
340	340_username	53.1250
341	341_username	55.5556
342	342_username	35.0000
343	343_username	66.6667
344	344_username	57.8947
345	345_username	56.5217
346	346_username	40.0000
347	347_username	52.9412
348	348_username	47.6190
349	349_username	35.7143
350	350_username	42.8571
351	351_username	41.1765
352	352_username	37.5000
353	353_username	52.6316
354	354_username	66.6667
355	355_username	69.2308
356	356_username	35.7143
357	357_username	52.1739
358	358_username	59.0909
359	359_username	43.3333
360	360_username	44.4444
361	361_username	56.6667
362	362_username	63.6364
363	363_username	40.0000
364	364_username	65.0000
365	365_username	52.9412
366	366_username	45.0000
367	367_username	47.6190
368	368_username	72.2222
369	369_username	40.7407
370	370_username	58.3333
371	371_username	37.5000
372	372_username	36.3636
373	373_username	60.0000
