uid, gid
0, 1489
0, 4789
1, 5012
1, 9615
2, 1249
2, 2507
2, 9039
3, 142
3, 7096
3, 8620
3, 9847
4, 936
4, 1261
4, 2506
4, 6245
4, 7034
5, 853
5, 2128
6, 899
6, 2865
6, 3451
6, 5559
6, 6442
7, 3389
7, 4199
7, 6272
7, 7278
7, 8635
8, 154
8, 1020
8, 1618
8, 2453
8, 6631
8, 8599
9, 2089
9, 2637
9, 4850
9, 5917
9, 6159
10, 547
10, 4250
10, 5058
10, 6420
10, 7690
11, 1678
11, 3422
12, 2772
12, 3265
12, 5887
12, 9802
13, 2306
13, 2653
13, 3558
13, 4644
13, 5850
13, 7028
14, 4756
14, 5493
14, 7685
15, 5817
15, 6463
16, 3550
16, 4097
16, 6259
16, 7276
17, 5137
17, 5648
17, 6441
17, 6484
18, 1022
18, 3211
19, 99
19, 1549
19, 1625
20, 2262
20, 2638
20, 3115
21, 1319
21, 3878
21, 4659
21, 6657
21, 6952
21, 9109
21, 9439
21, 9781
22, 1436
22, 1686
22, 4699
22, 6458
22, 7392
23, 1374
23, 5185
24, 4493
24, 8394
25, 24
25, 2781
25, 4613
25, 6234
25, 6479
25, 8406
26, 2248
26, 3869
26, 4795
26, 4992
26, 5466
27, 356
27, 6521
27, 9706
28, 3660
28, 8001
28, 8989
29, 4804
30, 12
30, 2139
30, 2180
30, 2871
30, 4314
30, 4356
30, 4856
30, 4952
31, 477
31, 953
31, 1102
31, 3087
31, 5334
31, 5624
32, 7092
32, 8733
32, 9582
32, 9646
33, 2989
33, 4045
33, 5652
33, 5880
33, 9636
34, 1537
34, 6169
35, 2114
35, 4004
35, 5935
35, 6806
35, 9529
36, 1142
36, 1647
37, 1869
37, 3402
37, 6339
38, 525
38, 1214
38, 1818
38, 2115
38, 2179
38, 5369
38, 8008
39, 5764
39, 9431
40, 1744
40, 6747
41, 2787
41, 3866
41, 6243
41, 7011
41, 7178
42, 1387
42, 2686
42, 3560
42, 3659
42, 4569
42, 6810
42, 7875
42, 7914
42, 8180
43, 1799
43, 5469
43, 7291
44, 1228
44, 2100
44, 5792
44, 7138
44, 8671
45, 2288
45, 6233
45, 6712
45, 9166
46, 3262
46, 8355
46, 9870
47, 813
47, 2153
47, 3639
47, 6040
48, 753
49, 2392
49, 4497
49, 5117
49, 5291
49, 9743
50, 3579
50, 3780
50, 6820
50, 8749
51, 30
51, 197
51, 2513
51, 5262
51, 7042
51, 9452
51, 9656
52, 2013
52, 5967
53, 1624
53, 2267
53, 7629
53, 8203
54, 194
54, 3762
54, 8768
54, 9626
55, 1472
55, 1738
56, 1347
56, 1463
56, 3213
56, 5864
56, 6661
56, 7136
56, 8168
