from_uid, to_uid, time
9, 834, 2024-07-04 00:18:43.190420
13, 874, 2024-07-05 17:19:47.190633
19, 146, 2024-07-01 18:51:58.190905
27, 838, 2024-07-07 20:31:50.191354
28, 373, 2024-07-08 16:30:41.191384
32, 805, 2024-07-05 15:46:52.191612
46, 215, 2024-07-01 20:29:50.192282
55, 546, 2024-07-01 11:06:57.192747
59, 466, 2024-07-04 16:51:05.192941
60, 732, 2024-07-04 01:35:10.193008
60, 774, 2024-07-01 05:45:17.193014
61, 261, 2024-07-01 13:27:52.193039
70, 786, 2024-07-05 07:21:12.193506
72, 326, 2024-07-03 19:58:20.193581
75, 874, 2024-07-06 06:41:41.193758
76, 889, 2024-07-01 23:35:58.193811
86, 938, 2024-07-04 04:52:42.194295
92, 488, 2024-07-06 18:32:14.194558
93, 454, 2024-07-06 09:38:50.194608
93, 546, 2024-07-05 15:21:15.194616
93, 704, 2024-07-06 09:09:51.194627
114, 603, 2024-07-02 20:17:59.195614
126, 151, 2024-07-05 13:44:39.196149
128, 982, 2024-07-04 10:06:19.196287
130, 478, 2024-07-04 15:53:10.196354
135, 574, 2024-07-05 16:34:39.196593
160, 854, 2024-07-08 15:59:20.197745
179, 612, 2024-07-06 14:54:02.198572
215, 595, 2024-07-05 21:28:57.200111
218, 273, 2024-07-04 16:32:13.200221
233, 847, 2024-07-06 05:01:37.200878
244, 420, 2024-07-01 08:10:38.201306
261, 695, 2024-07-02 06:02:10.202003
275, 488, 2024-07-02 03:45:26.202547
284, 650, 2024-07-06 01:46:30.202940
287, 650, 2024-07-04 06:45:47.203058
292, 715, 2024-07-08 06:19:03.203254
296, 478, 2024-07-01 03:38:34.203396
297, 325, 2024-07-01 20:32:08.203429
297, 848, 2024-07-06 03:08:35.203460
305, 957, 2024-07-07 18:31:00.203770
316, 712, 2024-07-03 14:24:01.204165
334, 853, 2024-07-02 06:18:28.204834
355, 956, 2024-07-07 14:57:02.205589
371, 392, 2024-07-07 11:16:21.206112
389, 739, 2024-07-07 13:36:25.206730
390, 923, 2024-07-07 04:18:00.206776
391, 744, 2024-07-07 16:44:34.206802
405, 566, 2024-07-01 05:06:11.207246
406, 614, 2024-07-06 04:57:31.207284
415, 732, 2024-07-03 03:39:39.207577
442, 900, 2024-07-03 12:21:51.208416
451, 456, 2024-07-07 08:23:14.208668
494, 636, 2024-07-01 06:04:29.209898
508, 739, 2024-07-06 01:09:10.210281
527, 930, 2024-07-01 14:08:58.210789
541, 852, 2024-07-04 13:27:59.211137
563, 713, 2024-07-06 23:35:36.211659
565, 728, 2024-07-02 09:56:51.211710
570, 878, 2024-07-07 03:54:33.211840
572, 665, 2024-07-03 03:30:22.211877
587, 875, 2024-07-07 01:41:51.212233
610, 883, 2024-07-04 12:05:54.212741
621, 926, 2024-07-08 18:56:11.212976
638, 854, 2024-07-04 16:36:47.213315
641, 903, 2024-07-08 09:25:09.213378
656, 861, 2024-07-08 08:31:53.213661
704, 974, 2024-07-01 18:46:20.214494
733, 887, 2024-07-04 03:13:28.214933
836, 992, 2024-07-05 06:39:12.216137
989, 996, 2024-07-02 04:13:32.216860
