gid, uid1, uid2, final_game_state, result
1000, 0, 1, ..X...O.O...XX..X..OO..OO.X.OO.XO.O..OO.OO.OXOXX.X.X.X..XXXO.X...X.X...X.OX..O...O...OOX...X.X.XOOO.O.O...X.O..X..O.XO.O.OOXOXXX.OO..XX.O....OO.OO.X.XOXX.X..OX.X...XXXX.X.O..XO....X.OOXO.O.O.OX....X.X.X...XXOOX.O..XOOX.X....O, BLACK
1001, 0, 1, .XO....OOXO....OOXO.X....X..XO.......O.......X.O..O......X...O.X.XOOXO....O..X.O....X.O.O............X.XXX.O...O.....X.X..X..X.O..XXX.O.XO..XX.OO....OOO..O.OX.XX.O.X.XOX.OOOXXX.O.X.O.X.....X...OOX...OXX..O.O.....X.XXO.O..XX.O, BLACK
1002, 0, 2, .OOOOO.O...XOXXOXO..O.XO.....O.X..OXXXX..O..XOOXOOO...OXOX.XXX..X..O.X.O..XXX.XXOXXXO..XX..O....X.O.XO.X.O.X.X.OOOO.O.O.....O.O.X...OO.X.X.OXOX.OX.......XX...X.XX.X.OX..X.OX.XXOOXXOXO..O...OOO.XOO..X.OOOXXXX..X..OO..O.OO.XX.O, WHITE
1003, 0, 2, X...OXXOX.X...X....XO.OXX.O..OOOXXOX..XX..XX.X.O.O.OO.....O.X.XO.OO.....O...X.OO..XX..O..X.O...O.OXXX.OX..XO........O....O..X.XO.O.O..XOX..OO...X..O....OOOX..XO.XXX.......XOO...O..X..O....X.X.XOX..XO..X....O...OOX.......X.X.O, WHITE
1004, 0, 3, O.O..O.XOO..OX.O.XOXOX.....OO..X..X.XOXX....OO....OOXO.XOOOXXXX..OXO..O..OOX......OXX.....OXOXOOO...O..XO.X..X.X.O.OX.X.O.OX..OO....XXXX..OXXX.XXX...OOXOO..X.XXOXX.OO..O..X.O.XOX.OXXXX.X.X.OX...OX..O.XOO..OXOOOX.X.O..XXX.OO.., WHITE
1005, 0, 3, .O.O.XOX...X...X...XXX.XX.O..OOX.O..XX......X.XOXOXO.OX.O.OO.X..OXOXXO.XX..O..X.XO.X..O.XX.O.....X.O.......OX.O.XX....XO..O...O..O...OX.O.X....X.O...O.....OX.OX..XOX.OXOO.O.O.OOO..OX.OXXXOOO.O.X.XXO.X.OXXX.O..X.O..XO.....X.O., WHITE
1006, 0, 4, X....XX.X.XXXXX...X.O...OX..X.O..X...O..OX....X.O..OXXXOOXO...OO..O.O.OO.OXO.X.O.O.OXX.X..O.O..X.O...O.....X...X.OO.O...XXOX.O.O..X......XO......O.O.O...O.....O...O....XOO.X..O..X.X........X.X.O.......XX.X.XX....OOX.X.O.XX..O, BLACK
1007, 0, 4, X..........O.O.X....OOXO...X...OXXX....X...OOO..XX.X..O..O..X.......OX..OOXX.......XO.....X.........X.XX.X.........X.O.......OO..O.X...X....OOX..X.OX.............O....X.......O.O..O....X....OXO..O....X......OX..O.XO..O......., WHITE
1008, 0, 5, X..XO.OO...XXX.XX.OXX.XO.OOO...X..OOXOO....O..X....OX..OOO...X...OX....OOO..O.X..O.XOO....OX.O.X....O..XX..X.OXXXXO.O...O.OOO.O.XXXXXOX.O...O.X.O.O.X.X.X.X.O....OXX.X....X.XO.X.O.X.O..O..XXO...XXXX..O.X.O.OO..XXOXO..X...O...., BLACK
1009, 0, 5, XOOOO...X....X.X.OXOOOX...O..OX..O.O...X.........OXX...O....XX.O........X..XO......X.....OXX....X.XOOX......XX.X.X..OX......O.O.XOOO...O.X....XX......O.X..X.X.O...XOO...OX...X.X....X.OX.X.OXOXO....O.O.....X.OO...O...X..XO.OO., BLACK
