gid, uid1, uid2, final_game_state, result
1000, 0, 1, ..XOXXXXO..X.XX.O...O..XX.O..O...XO..OO..O.X..X.X..O.XXO.XX.....O.O.OX...OO.X.....O.XOXXX...OO.OX.....XX.O.O.XX.X..XOOX.....X...O..X.O..O.XO..XXOOXO.OX.XXX..OOOO..XX..O..OXX....OO...........OOX...O.OXO..X.O.O.X....X.........O, BLACK
1001, 0, 1, .XO..X..OOOX...X....OO.X.X.OOO.X.O.X.X.XX.XX.OO.XO.XOOXOO..O.XX.X...O..O.X.X..X..OX.X....OX.OOX....OX.X..X..O..O....OO..X...X..O.XOXXX.X..XX.O.........X..OX.OO..X...XO..O.O..O.O....O..XX.OO..O.O..O..O..XOX..O.XX..X..XX.....O., BLACK
1002, 0, 2, .OOXO.O..XOXO..XX.XOXOXX.X..X.XX...OOXOO.X....XXXOXX...X...X..XOOO.O.X.O.X...OXO...OO.O.O...O..XXX.OO.X.OOO...XOOOO.O..X.XO.XOX.X.O.X..OXXO...XX.X.XXO..O..O..O..XXO..XOX.O.XX.XO.XX..OOX..OOOXXXXO.O..OXO.O.O.OXX.OOX....O.OXX.., WHITE
1003, 0, 2, ......X.X...O..O.O.O......X.O.OO...X....OXXX.O....X...X.X..OOXO..X.OOXO.....XOO...O.O.OO.XXOO.O.XX.O..O.O..X.XO..O..X...XX.X..OO..XXXOO..O.XX.XX..XX.O.X...OO.X.X..OO..XOX.O..X......X..X....O.OXX.OOO.X.XO.XXO.X.......O.X....XO, WHITE
1004, 0, 3, X..XO.O.X...X...XX...OO..OO.XXOOXX.X.X.OXO.X.......OO..OO..O..X.....X.O.XO.OOX....O.XOXOXOO.O.O.O.O.XXX.X..X..OX....XX.XXXO.X.X.XOXOX...X.X..OO..XXO.XO.X...O..XXOO..XX.O.X.XXO..X.OO..O....XOO.OO.X.O....OO.X.O.O.XOX..O...XX.OO, BLACK
1005, 0, 3, ..O.O.OOXXO.O.X....OX..O..OXXOXXXXOOXXXO.XOOO.O..XXO.O.O.X.O....OO..X.XO.OOX..X.O..X..OX...X.OX.O.X.XOO......O.OO.OXX...XO...O.......X....X.XOXO...O.OO.....X.OX.O.XOXX.O..XXX...XO.OOX..X..XO.XX.....OXOO......OX.X....XX.X.X..., WHITE
1006, 0, 4, ..O.OO.XX.OOX.....XX.X...O..X.OXOO.X.X.XOXXX.O.O.XX..X.O.OOO.OXO...OX..O..XXOX.XO...O.XOXX..OOO...XOX.....X.XOX.XXO.O..XX..OXOO......XO.OX.X.XXOOOXX....OOXX.OO.O...X.....OOX...X.XO.OXOXOX..O.OXX.....OXXOOXO.X..X..O.OX.O..OX.O, WHITE
1007, 0, 4, .....O.OO.X.....XX..O.O...X....X.XO.......OO.X......OO....X....OX...O....X.X.......O.X....X...XX......O.XX......XX...OO.X..O.O.....X...X..O...O..X...OX......X......O.X..XX.O....X...O..O..........O...X.......X...O..O...O...O.., BLACK
1008, 0, 5, OXX....XOXXX..OO.XO.OOOO.OO.OO..XO..O.XX..XXO.....O.OXOO...OOXX.O.OOXX.XX.XOO.OOXXX..XO.O.X.O...O.XX.X..X.....O....O..X..OX...OX.X.XXOOO.O..X.O.X.X..OXX..O........O.XOX.X.X...X.XOOOOXX.O.O.X.X..XX.X..X..XX.OOOO..OO..OXXX.OX.., WHITE
1009, 0, 5, ..OXO.O...OX.XXOXXO...O.OOO.O...XX..XX.OXO.X..OXO.XXXXX.OXXO....XOX.X...X.....X..O.....X..XO..OX...XO...OX...O.X.XO..OX..O.OXOX.O..XXX..XOO..O.X.......X.XOX...........XXX...OO....XO.O..OO..X.O..OXO....OOXO..OXO..OX..O.....XOO, BLACK
